cusA_accountIDX, neg_limit
"07707670750246379061", 2000
"16530111995588504051", 10000
"03101467434905020851", 2000
"31491314037470360551", 1000
"29165634451593201046", 5000
"69124583522747350352", 1000
"47358041533889563882", 5000
"35385209177211672686", 5000
"88930132041875809805", 1000
"30345195655739613206", 1000
"57043153302328460772", 2000
"71438770647759997664", 5000
"66599645275452344449", 5000
"79797782322942877466", 10000
"20595010749802635429", 5000
"49671134294398389760", 2000
"22350091268339656583", 10000
"61906015054995108991", 10000
"97396662817309749090", 5000
"37007485146962817183", 2000
"19025241014728414629", 5000
"81907653077423796255", 2000
"98700466152992011434", 1000
"63695298034165335689", 10000
"04563881194343148202", 2000
"94340168977376598114", 1000
"77591550110955025190", 2000
"91468235846577616464", 2000
