cusA_accountIDX, currency, interest
"29176284009617414379", "HKD", 4.45
"32446696513672721901", "RMB", 2.23
"11201496049518245830", "SGD", 2.23
"54629276180220988732", "RMB", 2.23
"33258674571738492656", "RMB", 0.80
"48320258002680392798", "USD", 0.80
"30891495109989136202", "SGD", 1.11
"77236651618116960860", "HKD", 3.23
"79673870404869367401", "USD", 0.80
"89936484315205750956", "SGD", 2.23
"40074505621402766880", "SGD", 0.80
"23119940586640942503", "SGD", 0.80
"45030700689781290198", "USD", 0.80
"31633325176940093988", "RMB", 2.45
"48314224742271205826", "SGD", 4.45
"24536104868057439608", "SGD", 3.23
"67448388056930528046", "SGD", 3.23
"31281148030630502950", "HKD", 4.45
"89265896168182720935", "HKD", 2.45
"21020386125034523374", "HKD", 0.80
"89964440660027893234", "HKD", 2.45
"44652055838639191457", "SGD", 1.11
"13400818156250600556", "SGD", 2.45
"84158176832933590392", "HKD", 3.23
"84663158126608238410", "USD", 2.45
"77476872842077909355", "RMB", 2.45
"60656412176610409392", "RMB", 0.80
"14125614972914546771", "HKD", 3.23
"82241391630531032246", "USD", 3.23
"33932540302677778775", "RMB", 4.45
"32911400461575337637", "USD", 0.80
"30280984377001952015", "RMB", 1.11
"68786501505839933288", "HKD", 1.11
"03018001358159570222", "RMB", 1.11
"45969985197659869941", "RMB", 3.23
"58969900650913664544", "HKD", 2.23
"04103377241638496375", "HKD", 0.80
"77154513845261993437", "HKD", 2.23
"21974606867884201608", "HKD", 2.45
"02454434606230706179", "HKD", 2.45
"77617338258015401931", "USD", 2.23
"34332027616547200374", "SGD", 4.45
"60488727174819611372", "HKD", 2.45
"73335391675925317736", "USD", 0.80
"74568418288206953952", "USD", 3.23
"36399774812505438610", "HKD", 2.23
"84225576613047244217", "HKD", 2.23
"36304354048065502247", "USD", 4.45
"18711837149884420629", "SGD", 2.23
"02371887091136081695", "SGD", 4.45
"64135314737304318421", "USD", 3.23
"02692701860512716629", "RMB", 2.45
"76310885752036197093", "SGD", 2.45
"75353528553113835172", "USD", 4.45
"65262127646551597913", "RMB", 1.11
"58589148845277886881", "HKD", 4.45
"23765530776618398601", "HKD", 2.23
"52704388065134068741", "SGD", 2.45
"88980578083453748820", "HKD", 2.23
"16743477763412296102", "HKD", 3.23
"31285198912476377856", "SGD", 0.80
"63612698035222810124", "RMB", 0.80
"35713458112314040371", "HKD", 2.45
"60339990554046142364", "SGD", 4.45
"30721550762473401379", "USD", 1.11
"25676044857253885142", "RMB", 0.80
"59587720681934098811", "USD", 1.11
"67305817082344788004", "USD", 2.45
"70152764212722032365", "RMB", 0.80
"10660262739174874814", "SGD", 2.23
"54531094004630908314", "SGD", 2.23
"57353626113671228434", "SGD", 0.80
"29539741427419136314", "SGD", 1.11
"17422767648452807086", "HKD", 3.23
"58654253745359076415", "RMB", 1.11
"67425089674595434058", "SGD", 3.23
"33462855495320811946", "SGD", 2.23
"84566552884792555294", "HKD", 0.80
"87891631090535751594", "SGD", 2.23
"98607050387968297595", "USD", 4.45
"28003421234870180257", "SGD", 2.45
"47102680787115571209", "SGD", 3.23
"33720407359160585016", "SGD", 1.11
"19741862325836708662", "USD", 0.80
"57238397111646513559", "HKD", 2.23
"54933284887659106566", "USD", 1.11
"57244078915278010431", "HKD", 2.45
"10545799244612337208", "SGD", 2.45
"42580474992897541162", "USD", 2.45
"16959853405834011301", "SGD", 3.23
"15566007696700524126", "RMB", 0.80
"58665818376641323207", "USD", 4.45
"51866734189777452704", "RMB", 1.11
"63753141684155127933", "USD", 0.80
"18007906381683742134", "USD", 0.80
"37258065953490152094", "SGD", 2.45
"82177188301387215672", "USD", 1.11
"35802924141043820119", "SGD", 2.45
"00975953102697284605", "RMB", 2.45
"66811360588370438771", "HKD", 2.45
"18131763432363200943", "SGD", 0.80
"72572760083474861198", "HKD", 2.23
"62322191629948735560", "SGD", 1.11
"37488796479040779022", "HKD", 0.80
"39251184787295556746", "SGD", 0.80
"03524756066348789456", "SGD", 3.23
"59507027803483790537", "SGD", 4.45
"59546096328391239250", "SGD", 4.45
"44565842995176839633", "SGD", 4.45
"48750525999047936718", "HKD", 3.23
"52652510895395236491", "HKD", 0.80
"23080410920362895347", "USD", 0.80
"90601315432013353799", "RMB", 4.45
"94002515414199408083", "RMB", 2.45
"31275332263718564431", "HKD", 2.45
"45491022276039785287", "SGD", 0.80
"58890401012028137899", "USD", 3.23
"89614249393381826555", "SGD", 1.11
"37678783176159661600", "HKD", 3.23
"90781462552635586853", "HKD", 3.23
"12069209923988298027", "HKD", 0.80
"40044366628148400540", "SGD", 4.45
"75854804826113170679", "SGD", 2.45
"04121004351216922299", "HKD", 3.23
"03187365507085402852", "USD", 0.80
"43306783912234419484", "RMB", 3.23
"05556053134008203789", "HKD", 3.23
"54793888178565930934", "SGD", 2.45
"73244434698911532599", "RMB", 4.45
"25030489200565373463", "HKD", 2.45
"09690093433160566683", "HKD", 0.80
"44804482398934904350", "SGD", 3.23
"46068529545507553330", "RMB", 2.23
"98800769203172088244", "RMB", 2.23
"11188385206755881441", "SGD", 3.23
"11041269221299781808", "USD", 2.45
"64386906016487450474", "RMB", 2.45
"74454006789907560896", "SGD", 1.11
"57973016670217299963", "HKD", 2.45
"05471989791498381808", "USD", 2.45
"14405670403589272937", "USD", 3.23
"34168519316247793943", "USD", 0.80
"32655905540352750204", "SGD", 2.45
"84372702811033451592", "USD", 0.80
"28876184727981368840", "SGD", 1.11
"16968138900868727770", "SGD", 2.45
"66589784328795082244", "RMB", 3.23
"32973494950587755795", "SGD", 1.11
"37277711424423356096", "SGD", 0.80
"86632175287646403430", "HKD", 0.80
"45522741738061553955", "RMB", 1.11
"71700337251013474152", "SGD", 4.45
"79044815877453578774", "HKD", 3.23
"18129343409957470563", "SGD", 2.23
"86552136944124407398", "HKD", 2.45
"13736651893143244637", "USD", 0.80
"03681692813039853049", "RMB", 4.45
"30461202539345213542", "RMB", 2.23
"30923710593414575236", "HKD", 1.11
"06800035024273360527", "USD", 2.23
"20703647976386070769", "RMB", 4.45
"72451869901114967185", "HKD", 2.45
"46465369824664330741", "USD", 2.45
"70377354313212895930", "HKD", 4.45
"27855852812736832724", "USD", 0.80
