cusA_accountIDX, currency, interest
"60007377954785168437", "SGD", 1.11
"34533020594505756920", "SGD", 3.23
"90960881306334531947", "USD", 0.80
"43592837714154251911", "HKD", 2.45
"18498820504448720513", "RMB", 3.23
"27629219358513940148", "USD", 4.45
"84831780584535886954", "USD", 3.23
"69004658738859431038", "SGD", 0.80
"44088301824916367750", "RMB", 4.45
"11758818830864384745", "HKD", 1.11
"44647790705702724592", "USD", 2.23
"94148870040407101153", "RMB", 1.11
"45936238195129988482", "HKD", 3.23
"77774425475917721215", "HKD", 2.45
"05266225774294041208", "RMB", 1.11
"56789041270174519472", "USD", 0.80
"38786706400208529457", "HKD", 2.45
"71187469304939514015", "SGD", 4.45
"40605255860866841202", "RMB", 4.45
"37417868680608028100", "SGD", 2.45
