loanIDX, staf_staffID, bran_branchName, loanDate, loanAmount
"02436610550447500021", "410621198102239516", "AHB", "2020-6-7", 48000
"92529479569384185136", "221403198707119110", "BJB", "2019-6-25", 84000
"89533721600211110699", "443403198401021191", "AHB", "2019-3-5", 75000
"56346847609987902303", "443403200501092511", "SHB", "2018-1-27", 12000
"49833150689858345589", "410621199612163479", "AHB", "2018-4-11", 95000
"48519467412137869932", "410403199912135987", "BJB", "2017-6-23", 24000
"06664120460472616823", "410621199612163479", "AHB", "2020-8-19", 20000
"50671029278805799194", "221403200006182494", "AHB", "2017-7-13", 84000
"67018719102414552779", "410403200209235078", "AHB", "2018-11-1", 70000
"89495331983855263709", "221403198310282003", "SHB", "2017-9-8", 95000
"14215403363213848980", "410403200604220460", "BJB", "2017-6-14", 31000
"10113214960659921146", "221621198804275299", "SHB", "2018-6-20", 54000
"89229769474088259540", "221403198310282003", "AHB", "2017-9-25", 74000
"42898064819068590411", "410403200209235078", "AHB", "2018-4-3", 22000
"37460801652471819158", "443403198401021191", "BJB", "2020-8-18", 48000
"34778279725242688161", "410621198102239516", "SHB", "2018-7-7", 18000
"25988137027144125574", "410403198909022969", "SHB", "2017-6-7", 99000
"57859607401396243808", "221403200812151794", "BJB", "2018-1-13", 37000
"66847126170698132853", "443403198002265736", "BJB", "2017-10-8", 62000
"71324070366674138543", "410403199605212257", "SHB", "2017-6-27", 79000
"87763994579594669581", "410621199706040024", "BJB", "2019-8-13", 73000
"80109987816934884116", "443621200503161853", "BJB", "2019-8-10", 14000
"21268897922452906723", "221621200911224556", "SHB", "2018-8-20", 71000
"77955072258739377237", "221621198804275299", "BJB", "2019-5-5", 16000
"57060860374603948165", "443621200910222464", "SHB", "2018-5-12", 92000
"03859954579775394552", "410403200205137845", "AHB", "2020-7-11", 54000
"11141345340679082753", "410621199401158755", "AHB", "2017-7-7", 45000
"63833262847135011286", "221403199903262148", "AHB", "2018-3-10", 9000
"73853870390288512155", "410403199912135987", "SHB", "2019-3-17", 6000
"99691495996648321362", "443621198609082879", "BJB", "2018-5-20", 10000
"79022497533690485875", "443621200701135219", "BJB", "2018-2-18", 71000
"68939283811114426116", "410403200209235078", "AHB", "2020-9-16", 84000
"58841683948306223225", "410403200604220460", "AHB", "2020-6-3", 77000
"47421336918152743341", "410621199004068996", "AHB", "2019-4-27", 6000
"33031226903359986527", "410621199902257806", "AHB", "2018-12-20", 7000
"48760845059174718775", "443403199502112828", "AHB", "2017-1-20", 80000
"26986900445066841115", "221403198803217246", "SHB", "2018-8-20", 70000
"69436560614106481818", "410403201003121479", "SHB", "2018-7-14", 60000
"52590476299461912972", "443621200701135219", "AHB", "2017-2-23", 36000
"19868042537543132745", "410621198807011407", "BJB", "2017-1-12", 47000
"80523662992347376801", "410403198502239605", "AHB", "2019-9-27", 45000
"27406942290223865428", "410621198701078872", "AHB", "2019-10-22", 57000
"41076728429553174043", "410403200604220460", "AHB", "2019-11-21", 82000
"11891022277404877885", "443403198002265736", "AHB", "2020-10-10", 37000
"40429750652344903911", "410621198102239516", "BJB", "2018-12-8", 3000
"22474120999658427074", "443621200701135219", "BJB", "2019-10-26", 57000
"29151623959828707434", "443403199502112828", "BJB", "2019-3-23", 41000
"65788927336629045473", "221403199903262148", "AHB", "2017-11-1", 50000
"53533350259978149153", "410621199203033794", "BJB", "2018-6-6", 88000
"03017336922098263247", "221403198803217246", "SHB", "2018-1-11", 20000
"99447533250835291588", "410621198102239516", "BJB", "2018-2-4", 98000
"18745643255229630736", "221621198804275299", "AHB", "2017-4-20", 98000
"88192441196987480584", "410621200812066613", "BJB", "2019-1-7", 43000
"88812303871330428242", "443621199901128865", "AHB", "2017-1-21", 8000
"24452428872837798732", "410621199706040024", "AHB", "2019-6-10", 39000
"29491978032174294305", "410403200604220460", "BJB", "2019-4-17", 75000
"03380095275263228926", "410403199605212257", "AHB", "2020-11-8", 2000
"67025482576114507222", "410621199902257806", "AHB", "2018-1-1", 53000
"09047944345087600888", "410621199203033794", "AHB", "2017-1-8", 96000
"49589089593334400265", "410621200812066613", "BJB", "2019-12-25", 7000
"66534992400767718725", "410403199605212257", "AHB", "2017-10-5", 81000
"52888031069945104091", "443403199502112828", "BJB", "2018-4-9", 93000
"00749792969895025937", "410403198502239605", "BJB", "2018-8-18", 16000
"83277460350439594251", "410403199912135987", "AHB", "2017-4-6", 14000
"98849097380546886701", "410403200602056756", "BJB", "2019-8-8", 10000
"07024015992305657085", "410621198701078872", "BJB", "2017-12-6", 64000
"10862823386199552542", "410403200209235078", "BJB", "2018-1-16", 40000
"22835871935806016177", "410403200604220460", "BJB", "2017-2-13", 83000
"35665660770035963837", "410403200604220460", "AHB", "2019-12-12", 68000
"53883501817978027621", "410621200812066613", "SHB", "2020-3-7", 39000
"15409303670367342195", "221403198310282003", "AHB", "2020-3-8", 36000
"36995265581263460415", "410621198003211377", "BJB", "2017-9-13", 61000
"78073186264684960527", "443403199502112828", "BJB", "2020-12-1", 44000
"60889419754477806001", "221403198310282003", "BJB", "2019-11-23", 90000
"66678778357793717520", "221403198310282003", "SHB", "2019-9-27", 5000
"85300513173188824588", "443403199502112828", "BJB", "2019-1-21", 4000
"81512874250858605148", "410403201003121479", "BJB", "2020-5-26", 100000
"71268359789114195806", "443621198609082879", "BJB", "2019-12-23", 85000
"27812074816900103339", "221403199903262148", "SHB", "2020-7-12", 48000
"05819869791936504451", "221403198310282003", "BJB", "2020-3-6", 38000
"01115734587868306674", "410403199912135987", "SHB", "2020-7-7", 28000
"57678624362359789379", "221403198310282003", "SHB", "2018-12-24", 29000
"72279158686706595668", "410621198003211377", "BJB", "2019-6-20", 27000
"34324692006240190515", "221403200812151794", "SHB", "2017-3-22", 75000
"69462459557020711837", "410621198807011407", "BJB", "2018-3-18", 63000
"05452346138477917365", "443621199507283622", "AHB", "2020-4-8", 41000
"28656957347161837675", "410403201003121479", "SHB", "2018-12-17", 96000
"06875597041383364006", "410621198102239516", "BJB", "2019-3-6", 73000
"89212550013237337734", "410403200311109317", "SHB", "2019-8-20", 79000
"19334657227332051963", "410403199605212257", "SHB", "2020-6-26", 42000
"19889702558464268560", "410403200802041533", "SHB", "2018-10-22", 3000
"93914363871083244395", "221403198803217246", "SHB", "2019-8-17", 92000
"67423672551010753819", "410621200812066613", "AHB", "2018-12-13", 15000
"53956502822448012612", "410621199706040024", "SHB", "2017-5-20", 60000
"63711517444097385315", "443621198405243523", "AHB", "2017-8-17", 35000
"78414458042921530764", "443621198405243523", "BJB", "2017-8-2", 70000
"13136907786351153134", "443403200011135482", "SHB", "2018-7-3", 21000
"08281641497276696239", "410403200209235078", "BJB", "2020-5-21", 45000
"64888456460634360232", "443403198401021191", "BJB", "2018-4-11", 93000
"62401024516947225283", "443621200701135219", "BJB", "2020-6-24", 66000
"64622979039965277925", "410621199902257806", "BJB", "2017-7-24", 90000
"56861076465048042262", "443621200503161853", "BJB", "2019-1-12", 95000
"80155080485974008204", "443403200011135482", "BJB", "2019-6-22", 38000
"57813016051660640906", "221403199612267010", "SHB", "2019-6-21", 1000
"78982352864674132636", "410621199004068996", "SHB", "2017-6-18", 71000
"49280223767938320306", "443621199901128865", "AHB", "2018-8-16", 71000
"63106588631216297431", "410403201008149306", "SHB", "2018-11-19", 29000
"65046756782114172894", "221403198803217246", "BJB", "2019-8-4", 8000
"03179127057134966232", "443621198405243523", "SHB", "2017-3-26", 10000
"12505685564726447482", "410403200802041533", "BJB", "2020-9-20", 80000
"13857395585276250702", "410403198909022969", "SHB", "2017-5-23", 61000
"97696746105718482503", "221403200704209077", "BJB", "2020-9-25", 41000
"31871615165178374294", "221403200812151794", "AHB", "2019-9-11", 25000
"17442229656678158657", "410621199203033794", "BJB", "2020-8-4", 73000
"75507063133910935026", "443621199901128865", "AHB", "2018-11-27", 64000
"18462732346996513338", "410403199912135987", "BJB", "2020-6-5", 10000
"97356640912381129329", "410621199706040024", "AHB", "2018-11-27", 63000
"07983119470918510956", "443621200503161853", "SHB", "2017-11-4", 76000
"31488371236319069232", "443403200501092511", "BJB", "2019-8-12", 67000
"18637914371627858359", "221403200812151794", "SHB", "2017-9-1", 62000
"75927865653211282443", "410621198003211377", "SHB", "2019-4-12", 60000
"98194486807730724440", "410621199401158755", "AHB", "2019-8-23", 25000
"04177289351757039260", "443621198609082879", "SHB", "2019-1-5", 79000
"67183404087360621540", "443621199603143902", "SHB", "2018-6-9", 32000
"47354480022639421177", "410403201008149306", "SHB", "2020-7-2", 22000
"08736814148218971190", "410403198502239605", "SHB", "2018-2-21", 65000
"13666716494294031437", "443621200701135219", "SHB", "2020-10-23", 51000
"47955915290052038889", "443403198401021191", "SHB", "2017-2-14", 99000
"13124655941740846147", "443621199507283622", "AHB", "2020-6-22", 57000
"90967160782210046986", "443403198002265736", "SHB", "2020-4-25", 81000
"92224112916651821995", "221403199612267010", "SHB", "2019-9-2", 50000
"35335151530134331479", "221403198310282003", "AHB", "2019-5-16", 65000
"08720376440261154250", "221403200704209077", "BJB", "2017-12-6", 59000
"45954279588466190161", "443403200501092511", "AHB", "2018-12-8", 55000
"72420464407169665558", "410621198003211377", "BJB", "2018-10-3", 30000
"57119485685519648984", "221403200006182494", "AHB", "2018-2-1", 90000
"59416237967893658103", "410403201003121479", "SHB", "2019-9-4", 51000
"79796922151636680750", "410621199902257806", "BJB", "2019-8-13", 51000
"99492492856477674608", "443403200501092511", "AHB", "2020-12-18", 62000
"95964791261370089724", "443621200701135219", "AHB", "2019-6-24", 20000
"72177523952847270320", "221403199612267010", "BJB", "2019-11-12", 58000
"80501388057478931969", "410403200205137845", "BJB", "2017-11-25", 24000
"27025098489979873106", "443403199502112828", "BJB", "2020-11-25", 98000
"03114406415456206662", "410621198003211377", "SHB", "2018-4-18", 30000
"38556736812321991331", "221403199612267010", "BJB", "2020-4-23", 37000
"54439495144044022918", "410621199203033794", "SHB", "2019-12-4", 16000
"00001292328441708300", "443403199502112828", "SHB", "2020-11-3", 83000
"40268596148746193597", "443403200011135482", "AHB", "2020-11-4", 13000
"96467604045443786738", "410621198701078872", "SHB", "2018-10-9", 70000
"42653898000789023610", "410621199004068996", "BJB", "2017-9-10", 6000
"32844959731377422214", "410621198102239516", "AHB", "2019-11-21", 45000
"81167376628826084261", "221403200704209077", "BJB", "2017-3-19", 9000
"64661209262806246182", "410403200802041533", "SHB", "2020-10-14", 59000
"86578038994249406184", "410403199605212257", "AHB", "2019-5-7", 46000
"03510352694485317990", "443621200910222464", "SHB", "2018-8-6", 3000
"72609668775180101836", "443403200011135482", "BJB", "2020-7-26", 68000
"75372227277151746365", "410621198701078872", "SHB", "2019-6-15", 16000
"79468395017744242134", "221403200006182494", "SHB", "2019-2-6", 63000
"35702897730325948874", "410621198807011407", "AHB", "2018-2-14", 39000
"47650652930673372253", "410403199605212257", "SHB", "2018-3-23", 55000
"55575087655672624739", "410403200205137845", "AHB", "2019-2-26", 72000
"83298302645971388332", "221403198402074734", "BJB", "2017-1-3", 30000
"51099440994040323945", "221403198310282003", "AHB", "2019-6-15", 95000
"41157214780386146793", "221403198402074734", "BJB", "2020-1-9", 82000
"61853532675585328395", "410403201003121479", "BJB", "2019-11-5", 73000
"32658834265041473770", "221403200006182494", "AHB", "2018-10-19", 36000
"46540040510746293523", "410621199902257806", "SHB", "2020-10-8", 67000
"39253941822677207406", "410621199902257806", "BJB", "2018-12-2", 53000
"90046737548758598564", "443621199603143902", "BJB", "2019-1-13", 8000
"02463031087402485704", "221403199612267010", "SHB", "2018-11-26", 36000
"83493990733005880702", "410621198701078872", "SHB", "2018-7-4", 42000
"13882409469575315355", "410621199203033794", "AHB", "2020-10-12", 13000
"36546478843664450493", "221403198310282003", "SHB", "2017-11-14", 91000
"25416537585912928680", "410403198909022969", "AHB", "2019-9-23", 96000
"26758849964591951612", "221621200911224556", "BJB", "2020-10-8", 32000
"54376151696306766226", "221621198804275299", "SHB", "2020-12-9", 90000
"10250899205217519237", "221403198402074734", "SHB", "2018-10-7", 27000
"98976608470880717587", "221403200605056052", "AHB", "2017-6-5", 8000
"92712988985003758418", "221403200006182494", "AHB", "2017-11-5", 12000
"70684332792331017266", "443621199507283622", "AHB", "2018-12-1", 16000
"09385497276134175394", "410403200602056756", "SHB", "2020-3-5", 90000
"85280487778650737314", "410621198701078872", "AHB", "2017-1-13", 96000
"38799898386719912569", "410403199912135987", "SHB", "2020-11-6", 79000
"42863090127465596504", "221621198804275299", "AHB", "2018-1-21", 16000
"10288988818515074350", "410621199203033794", "BJB", "2019-5-22", 71000
"14038746525198951960", "221403198310282003", "SHB", "2019-11-12", 56000
"86971432268140601192", "443403199501240257", "AHB", "2018-10-23", 11000
"34810355855545894441", "221403200006182494", "AHB", "2017-10-23", 90000
"58761794197558317993", "443621198609082879", "AHB", "2017-6-21", 19000
"70096872335754969292", "443621200503161853", "BJB", "2020-5-26", 40000
"69201439440328602660", "221403198707119110", "BJB", "2018-8-18", 19000
"41704327610308362894", "410621199004068996", "AHB", "2020-2-9", 1000
"76250987053515047473", "443621198609082879", "AHB", "2017-6-13", 3000
"70089551691656579034", "410403200602056756", "SHB", "2017-9-5", 31000
"27197567011903417826", "221621200911224556", "BJB", "2018-8-20", 38000
"42031552921091745840", "443621199901128865", "BJB", "2017-12-15", 90000
"19838454143313774442", "443621199901128865", "BJB", "2018-5-7", 58000
"34991529382846779925", "410403200602056756", "AHB", "2017-11-26", 43000
"86487769370587595154", "221403199903262148", "BJB", "2019-8-27", 71000
"02268029496204895795", "221403200006182494", "AHB", "2020-5-5", 52000
"38414569000483605963", "443621200701135219", "BJB", "2018-6-11", 24000
"27719705210985518230", "221403199903262148", "AHB", "2020-9-2", 52000
"01525544790118629457", "443403198401021191", "SHB", "2019-3-3", 84000
"07949212739181224091", "410621198701078872", "AHB", "2019-8-8", 21000
"28431636458989400734", "443621200910222464", "BJB", "2019-4-12", 28000
"25650701099105389099", "410403200205137845", "BJB", "2020-8-26", 25000
"40128665218778461799", "410621199401158755", "BJB", "2019-7-24", 51000
"19594726242466226372", "221403200704209077", "BJB", "2018-7-3", 94000
"03746736662066991584", "443403198002265736", "SHB", "2020-8-3", 53000
"27899060206186502921", "410621199004068996", "SHB", "2020-5-5", 36000
"78639609790090728650", "443621200910222464", "BJB", "2017-10-13", 23000
"07948533002921579992", "410621198807011407", "AHB", "2019-6-16", 6000
"29523571611481915050", "410403200602056756", "SHB", "2019-4-7", 34000
"96966627785999092082", "410403198502239605", "BJB", "2018-8-15", 15000
"02416858815906826914", "410621199401158755", "BJB", "2020-3-22", 93000
"12132654667711779163", "443403200501092511", "AHB", "2017-10-12", 93000
"08476547777930509733", "410403199912135987", "BJB", "2019-6-12", 81000
"92733259373232424356", "410621199706040024", "BJB", "2019-4-5", 72000
"23678853482210409972", "410403200602056756", "SHB", "2017-3-8", 27000
"09813794315480564381", "221403198803217246", "BJB", "2018-8-26", 23000
"57423666340310927238", "410403200311109317", "SHB", "2020-4-20", 16000
